TargetID1,TargetID2
P09874,Q96GD4
O14965,Q96GD4
O60885,Q96GD4
P06239,Q96GD4
Q96GD4,Q9UQB9
P25440,Q9UQB9
P09874,Q13464
O75116,Q13464
O60885,Q13464
P07948,Q13464
Q92769,Q13464
P00533,O75116
P31749,Q9Y243
O14757,P42336
P00533,P42336
P04626,P42336
P21860,P42336
P10721,P42336
P31749,P42336
P15056,P42336
Q13547,P42336
P06239,P42336
Q9UBN7,P42336
P00533,P42338
P04626,P42338
P36507,P42338
Q9UM73,P42338
P21860,P42338
P31749,P42338
P31751,P42338
O14965,P42338
P00533,P45984
Q13547,P45984
P00533,Q13547
P11802,Q13547
P09874,Q13547
P49840,Q13547
Q13315,Q13547
O60885,Q13547
P11142,Q13547
Q16539,Q13547
Q92769,Q13547
P08069,O15379
P09874,O15379
P31749,O15379
P12931,O15379
O60885,O15379
Q16539,O15379
Q06203,O15379
P09874,P25440
Q15059,P25440
O60885,P25440
P07948,P25440
P09874,Q15059
P25440,Q15059
O60885,Q15059
O14757,O60885
O96017,O60885
P00533,O60885
P30291,O60885
Q13547,O60885
P25440,O60885
Q15059,O60885
P25440,Q58F21
O60885,Q58F21
P00533,P28074
P53350,P28074
P09874,P28074
O14965,P28074
O60885,P28074
P20618,P28074
P10636,P28074
P00533,P20618
P53350,P20618
O14965,P20618
O60885,P20618
P28074,P20618
P00533,P07437
P36507,P07437
P21860,P07437
P09874,P07437
P42345,P07437
P31749,P07437
P12931,P07437
P04049,P07437
P06493,P07437
O14965,P07437
Q96GD4,P07437
Q13547,P07437
O60885,P07437
P06239,P07437
P11142,P07437
Q9UBN7,P07437
P04626,P35916
P12931,P35968
P17948,P35968
P04626,P36888
P12931,P36888
P00533,P07949
P04626,P07949
P27361,P07949
P12931,P07949
P00533,P23921
P09874,P23921
P49841,P23921
O14757,P04818
Q16539,P04818
Q06203,P04818
P00533,P30085
O60885,P30085
P23921,P30085
P09769,O75469
P11387,Q969P6
P09874,Q9H4B7
P07437,Q9H4B7
P00533,P27816
P49841,P27816
P06493,P27816
O60885,P27816
P11142,P27816
Q92769,P27816
Q9UBN7,P27816
P12931,P11137
P10636,P11137
O14757,P10636
O96017,P10636
P00533,P10636
P31749,P10636
P27361,P10636
P28482,P10636
P49840,P10636
P49841,P10636
P00519,P10636
P12931,P10636
P06493,P10636
P45984,P10636
O15379,P10636
P06239,P10636
P06241,P10636
P11142,P10636
Q16539,P10636
Q9UBN7,P10636
P57059,P10636
P00533,P29317
P04626,P29317
P11802,P29317
Q00534,P29317
P08581,P29317
Q9UM73,P29317
P04049,P29317
O14965,P29317
P06239,P29317
P07948,P29317
Q16539,P29317
Q9UBN7,P29317
P00533,P06239
P04626,P06239
P08581,P06239
P21860,P06239
P10721,P06239
P04049,P06239
P06241,P06239
P41240,P06239
P54760,P06239
Q15303,P06239
P00533,P07947
P04626,P07947
P08581,P07947
P21860,P07947
P10721,P07947
P11362,P07947
P06239,P07947
P06241,P07947
P09769,P07947
P07948,P07947
Q9UBN7,P07947
Q15303,P07947
P00533,P51692
P10721,P51692
P21802,P51692
P28482,P51692
P23458,P51692
O60674,P51692
P00533,P42684
P04626,P42684
P08581,P42684
P21860,P42684
P09619,P42684
P10721,P42684
P00519,P42684
P23458,P42684
P11142,P42684
Q15303,P42684
P12931,P06241
P11137,P06241
P10636,P06241
P07947,P06241
Q06187,P06241
P41240,P06241
Q9UBN7,P06241
P53667,P06241
Q15303,P06241
P08581,Q06187
P21860,Q06187
P23458,Q06187
O14965,Q06187
P53350,P11274
P10721,P11274
P00519,P11274
P11142,P11274
P00533,P41240
P08069,P41240
P21860,P41240
P31749,P41240
P04626,P54756
P07949,P54760
P00533,P09769
P04626,P09769
P11802,P09769
P08581,P09769
P21860,P09769
P10721,P09769
P36888,P09769
P07947,P09769
P07948,P09769
Q15303,P09769
P00533,P42685
P06241,P42685
P41240,P42685
P00533,P11142
Q02750,P11142
P36507,P11142
P11802,P11142
P08069,P11142
P21860,P11142
P31749,P11142
P22607,P11142
P27361,P11142
P15056,P11142
P49841,P11142
P12931,P11142
P04049,P11142
O60674,P11142
Q13315,P11142
O14965,P11142
O75116,P11142
Q13547,P11142
O15379,P11142
O60885,P11142
P10636,P11142
P06239,P11142
P07947,P11142
P06241,P11142
P41240,P11142
Q16539,P11142
Q92769,P11142
Q9UBN7,P11142
Q92934,P11142
P00533,P07948
P04626,P07948
P11802,P07948
P08581,P07948
P21860,P07948
P10721,P07948
P27361,P07948
P12931,P07948
P06493,P07948
P36888,P07948
P07947,P07948
Q06187,P07948
Q9UBN7,P07948
Q15303,P07948
P36897,Q9NYL2
O14965,Q9NYL2
